ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг
Тарас Загвойко,False,199,193,199,197.2
Андрій Петріш,False,186,200,198,193.8
Андрій Товтиш,False,197,192,185,191.9
Анастасія Анниш,False,197,187,189,191.6
Олександр Іванниш,False,196,193,184,191.5
Артем Андріїш,False,191,195,188,191.3
Михайло Тетяниш,False,197,183,189,190.4
Олександр Олексіїш,False,190,193,185,189.4
Сергій Маріїш,False,178,198,196,189.39999999999998
Оксана Тетяниш,False,191,174,198,188.0
Юлія Тарасіш,False,200,175,182,187.1
Вікторія Дмитришенко,False,200,157,200,187.1
Олег Ярославиш,False,200,191,163,186.20000000000002
Ігор Олегіш,False,195,167,192,185.7
Сергій Ніниш,False,193,194,166,185.2
Богдан Софіїш,False,183,173,199,184.79999999999998
Тетяна Ганниш,False,186,171,195,184.2
Оксана Іванниш,False,195,154,197,183.29999999999998
Павло Дмитришенко,False,191,196,160,183.2
Михайло Ніниш,False,191,171,182,182.3
Віктор Ілляш,False,159,199,196,182.1
Олег Людмилиш,False,191,182,170,182.0
Андрій Іриниш,False,169,187,193,181.60000000000002
Софія Ярославіш,False,192,200,149,181.5
Максим Іваниш,False,189,192,161,181.5
Ярослав Ярославіш,False,184,179,180,181.3
Марта Володимириш,False,191,162,187,181.1
Андрій Сергіїш,False,179,197,168,181.1
Іванна Іриниш,False,174,192,178,180.6
Катерина Маріїш,False,195,147,195,180.6
Роман Олегіш,False,192,182,164,180.6
Іванна Ганниш,False,199,157,179,180.4
Михайло Вікторіш,False,188,168,182,180.2
Вікторія Анатоліїш,False,186,171,181,180.0
Богдан Дмитришенко,True,193,174,168,179.8
Богдан Оксаниш,False,187,162,188,179.8
Ілля Вікторіїш,False,192,149,194,179.7
Тарас Ігоріш,True,182,169,187,179.6
Олександр Ніниш,True,196,138,199,179.5
Ярослава Наталіїш,False,200,192,139,179.29999999999998
Роман Маріїш,False,169,174,198,179.20000000000002
Дмитро Максиміш,True,175,165,199,179.2
Павло Дмитріш,True,186,196,153,179.1
Артем Іваниш,False,191,145,197,179.0
Ігор Алібіба,False,189,185,159,178.8
Петро Ігоріш,True,197,180,153,178.70000000000002
Олена Людмилиш,False,173,198,167,178.7
Лідія Оксаниш,False,188,188,157,178.7
Людмила Іванниш,False,186,183,164,178.5
Оксана Артеміш,False,167,197,175,178.39999999999998
Марта Вікторіш,False,199,184,145,178.3
Наталія Анатоліїш,False,174,183,179,178.2
Тетяна Вікторіїш,False,173,195,168,178.1
Ілля Дмитришенко,True,178,175,181,178.0
Анатолій Олениш,False,149,200,194,177.79999999999998
Ігор Олениш,False,172,166,197,177.7
Людмила Ковтун,True,198,185,143,177.6
Олександр Михайлиш,True,180,185,167,177.6
Оксана Неборачко,False,167,184,185,177.5
Юлія Артеміш,False,166,195,175,177.4
Іван Лідіїш,True,175,187,171,177.39999999999998
Ігор Тарасіш,False,173,198,162,177.2
Віктор Андріїш,False,173,160,200,177.2
Лідія Михайлиш,True,199,147,178,177.10000000000002
Наталія Романіш,True,177,181,173,177.0
Роман Іваниш,False,168,200,166,177.0
Богдан Ніниш,False,200,174,149,176.89999999999998
Олена Вікторіїш,False,199,132,192,176.8
Катерина Ігоріш,False,183,183,162,176.7
Ірина Сергіїш,False,162,188,185,176.7
Юлія Романіш,False,185,151,191,176.6
Павло Ілляш,True,173,175,183,176.6
Петро Анатоліїш,False,163,182,189,176.5
Віктор Наталіїш,True,166,178,189,176.5
Ірина Олексіїш,True,168,178,186,176.39999999999998
Ігор Анатоліїш,True,188,141,196,176.3
Сергій Володимириш,True,169,166,196,176.2
Віктор Іванниш,False,177,187,164,176.1
Анастасія Ковтун,True,150,186,200,175.8
Олександр Маріїш,True,195,158,168,175.8
Віктор Петріш,False,144,198,196,175.8
Іванна Ярославіш,False,162,186,184,175.79999999999998
Віктор Ковтун,True,164,174,192,175.4
Катерина Романіш,True,176,162,188,175.4
Петро Алібіба,False,166,165,198,175.3
Максим Дмитришенко,False,189,142,190,175.20000000000002
Катерина Людмилиш,False,177,179,169,175.2
Анна Товтиш,False,174,171,181,175.2
Ніна Лідіїш,True,180,147,196,174.89999999999998
Ярослав Богданіш,True,188,194,138,174.8
Іван Вікторіїш,False,197,154,166,174.8
Анатолій Оксаниш,True,186,147,187,174.6
Ярослава Ярославіш,True,197,158,161,174.5
Іван Максиміш,True,179,179,164,174.5
Олександр Катериниш,True,151,199,181,174.39999999999998
Катерина Катериниш,False,183,175,162,174.3
Володимир Анатоліїш,False,165,192,169,174.29999999999998
Павло Михайлиш,True,158,190,180,174.2
Софія Товтиш,True,193,192,131,174.10000000000002
Марта Вікторіїш,True,169,164,191,174.10000000000002
Іван Олексіїш,False,187,167,164,174.1
Михайло Петріш,False,186,173,159,174.0
Ольга Олениш,True,171,192,160,174.0
Дмитро Неборачко,False,163,174,188,173.8
Павло Ніниш,False,182,138,198,173.6
Володимир Ілляш,True,166,167,190,173.5
Ярослава Катериниш,True,166,195,162,173.5
Анна Тарасіш,False,195,120,198,173.4
Артем Іриниш,False,186,188,142,173.4
Артем Дмитріш,False,186,146,184,173.4
Анатолій Ігоріш,False,156,174,196,173.39999999999998
Дмитро Олегіш,True,152,183,192,173.3
Ілля Наталіїш,True,200,124,187,173.29999999999998
Ольга Андріїш,True,190,176,148,173.20000000000002
Сергій Неборачко,True,166,170,186,173.2
Марія Романіш,False,141,200,189,173.1
Максим Катериниш,False,171,161,188,173.1
Наталія Лідіїш,True,200,171,139,173.0
Наталія Ярославиш,True,148,183,196,172.89999999999998
Артем Лідіїш,False,159,177,186,172.5
Анатолій Алібіба,False,171,176,171,172.5
Олексій Софіїш,False,173,147,197,172.4
Богдан Іваниш,False,181,200,133,172.3
Сергій Наталіїш,False,169,188,161,172.3
Тетяна Дмитріш,False,162,167,191,172.2
Петро Володимириш,True,146,191,188,172.1
Вікторія Софіїш,False,188,179,143,171.8
Володимир Неборачко,False,200,133,173,171.8
Ярослав Людмилиш,True,182,200,130,171.8
Олександр Олександріш,False,143,188,194,171.79999999999998
Артем Романіш,True,169,179,168,171.70000000000002
Оксана Ігоріш,False,180,144,188,171.6
Людмила Алібіба,False,150,182,190,171.6
Анастасія Дмитришенко,True,183,163,165,171.6
Вікторія Олексіїш,False,200,169,136,171.5
Анна Людмилиш,False,163,175,179,171.4
Ольга Ярославиш,False,178,144,190,171.4
Людмила Володимириш,True,193,154,160,171.4
Марія Вікторіш,True,141,193,190,171.3
Олег Петріш,False,168,156,191,171.3
Анастасія Людмилиш,False,155,177,187,171.2
Софія Олениш,False,163,176,177,171.1
Тетяна Анатоліїш,True,148,188,185,171.1
Ярослав Олексіїш,False,192,187,127,171.0
Анатолій Ніниш,False,189,167,151,171.0
Оксана Сергіїш,False,194,125,186,170.9
Дмитро Тетяниш,False,191,147,168,170.9
Павло Андріїш,False,161,194,161,170.89999999999998
Катерина Оксаниш,False,184,174,150,170.8
Артем Максиміш,True,190,162,154,170.79999999999998
Максим Артеміш,True,198,106,199,170.7
Віктор Артеміш,True,186,126,195,170.7
Наталія Товтиш,True,161,183,171,170.60000000000002
Роман Катериниш,False,196,195,112,170.5
Іванна Володимириш,False,151,174,193,170.5
Павло Володимириш,False,187,131,188,170.5
Ярослава Олегіш,True,175,189,146,170.5
Петро Романіш,False,186,163,157,170.4
Ольга Ілляш,False,182,170,155,170.3
Марта Загвойко,False,194,113,196,170.3
Лідія Софіїш,False,164,171,178,170.3
Марта Софіїш,True,182,167,158,170.3
Ярослав Вікторіїш,False,184,189,133,170.20000000000002
Марія Ярославиш,True,157,180,178,170.20000000000002
Ніна Ігоріш,True,194,170,138,170.00000000000003
Андрій Анатоліїш,True,173,155,181,170.0
Анатолій Іванниш,False,178,137,192,169.9
Тетяна Олексіїш,True,181,183,142,169.9
Софія Максиміш,False,193,159,150,169.9
Артем Товтиш,True,190,182,131,169.89999999999998
Віктор Дмитріш,False,171,158,180,169.8
Дмитро Ярославиш,True,197,120,183,169.70000000000002
Богдан Максиміш,True,163,162,186,169.60000000000002
Олег Лідіїш,False,187,186,130,169.6
Андрій Тарасіш,True,175,188,144,169.6
Олексій Людмилиш,True,192,130,179,169.5
Іван Маріїш,False,156,165,192,169.5
Артем Іванниш,True,158,178,176,169.39999999999998
Олексій Олегіш,False,175,190,141,169.3
Марія Ковтун,False,156,185,171,169.2
Олексій Тетяниш,True,168,156,184,169.2
Володимир Петріш,False,158,196,157,169.1
Сергій Олениш,False,160,162,188,169.0
Ярослав Ганниш,True,153,163,196,168.89999999999998
Ганна Володимириш,False,197,137,163,168.8
Віктор Максиміш,False,176,168,160,168.8
Софія Тетяниш,True,188,163,149,168.79999999999998
Іван Тарасіш,False,199,164,133,168.70000000000002
Ніна Тетяниш,False,169,141,196,168.7
Михайло Сергіїш,False,190,143,166,168.7
Анна Іваниш,True,175,139,190,168.7
Ольга Софіїш,True,198,144,154,168.6
Ігор Дмитріш,False,198,193,105,168.6
Людмила Олександріш,True,199,173,123,168.4
Дмитро Ярославіш,True,148,192,172,168.4
Оксана Товтиш,True,190,172,136,168.39999999999998
Олександр Ярославиш,True,192,159,146,168.3
Іван Алібіба,True,167,189,149,168.2
Оксана Вікторіш,False,188,119,191,168.2
Олег Олегіш,False,178,168,155,168.1
Максим Романіш,True,181,141,178,168.1
Оксана Ніниш,True,186,167,145,168.0
Сергій Товтиш,True,192,162,142,168.0
Ніна Олениш,True,185,153,160,167.9
Софія Іванниш,True,164,167,174,167.9
Іван Олегіш,False,184,167,147,167.8
Наталія Іваниш,True,199,151,143,167.8
Михайло Іванниш,True,195,182,117,167.7
Анатолій Маріїш,False,177,168,155,167.7
Тетяна Алібіба,True,185,141,171,167.6
Ірина Наталіїш,True,143,183,185,167.6
Андрій Маріїш,False,163,178,163,167.5
Ярослав Анатоліїш,True,195,163,135,167.4
Анатолій Дмитришенко,True,185,126,185,167.3
Катерина Ніниш,True,194,189,110,167.3
Віктор Анатоліїш,False,200,146,145,167.3
Оксана Анниш,True,191,170,133,167.3
Ірина Володимириш,False,153,177,176,167.10000000000002
Ігор Ілляш,False,168,182,151,167.10000000000002
Олексій Анатоліїш,False,198,143,150,167.1
Софія Ганниш,False,177,165,156,167.1
Ніна Володимириш,False,168,189,144,167.1
Ілля Ніниш,True,200,156,134,167.0
Михайло Ганниш,False,191,112,190,167.0
Ольга Ярославіш,False,193,152,147,166.9
Софія Олександріш,False,159,163,181,166.8
Володимир Артеміш,False,192,173,127,166.8
Наталія Людмилиш,False,168,158,174,166.79999999999998
Андрій Ілляш,True,183,163,149,166.79999999999998
Анатолій Товтиш,True,198,178,114,166.79999999999998
Петро Ярославіш,True,181,153,161,166.60000000000002
Тарас Ярославіш,True,187,173,133,166.6
Ольга Михайлиш,False,181,192,122,166.6
Оксана Олексіїш,False,181,180,134,166.6
Ігор Ярославіш,True,156,150,197,166.5
Ніна Вікторіш,False,186,183,124,166.5
Юлія Оксаниш,True,162,157,182,166.5
Ілля Ярославиш,True,179,146,170,166.4
Максим Ярославіш,False,170,170,158,166.4
Вікторія Петріш,True,189,179,123,166.20000000000002
Юлія Вікторіш,True,168,189,141,166.2
Людмила Оксаниш,True,183,116,194,166.2
Артем Вікторіїш,True,168,131,199,166.2
Павло Ярославиш,False,182,124,187,166.1
Анатолій Анатоліїш,False,189,118,183,165.9
Оксана Наталіїш,True,168,194,135,165.9
Катерина Петріш,False,171,161,164,165.9
Людмила Ігоріш,False,197,163,127,165.8
Сергій Михайлиш,True,158,174,168,165.8
Анастасія Оксаниш,True,188,115,187,165.8
Анатолій Тарасіш,False,143,175,187,165.8
Вікторія Тарасіш,False,185,142,164,165.79999999999998
Ілля Ігоріш,False,154,172,175,165.7
Іван Ярославиш,False,183,152,156,165.60000000000002
Олег Дмитришенко,False,174,165,155,165.60000000000002
Людмила Анниш,True,192,196,100,165.60000000000002
Наталія Олексіїш,False,186,150,154,165.6
Наталія Тарасіш,True,186,186,118,165.6
Максим Алібіба,False,195,139,153,165.6
Іванна Сергіїш,False,170,194,131,165.5
Катерина Неборачко,False,185,171,134,165.5
Ярослава Богданіш,True,176,127,190,165.5
Ольга Богданіш,True,178,172,142,165.4
Марта Ніниш,True,199,186,100,165.4
Богдан Людмилиш,True,151,156,194,165.4
Ірина Людмилиш,False,162,152,183,165.3
Ярослав Товтиш,True,159,147,192,165.3
Ольга Олексіїш,True,188,132,168,165.20000000000002
Анастасія Іваниш,True,161,164,172,165.2
Петро Дмитришенко,False,197,179,109,165.2
Наталія Артеміш,True,178,140,173,165.1
Роман Ковтун,True,153,150,196,165.0
Дмитро Артеміш,False,174,194,124,165.0
Марта Ганниш,False,176,182,133,164.9
Ярослава Анниш,True,198,185,100,164.7
Іван Людмилиш,True,156,164,177,164.7
Ганна Алібіба,False,161,192,142,164.6
Вікторія Ярославиш,False,161,189,145,164.6
Ярослава Іваниш,False,199,106,177,164.5
Тарас Вікторіїш,True,181,142,165,164.5
Юлія Анниш,True,160,160,175,164.5
Михайло Неборачко,False,154,178,165,164.5
Ярослав Романіш,True,165,163,165,164.4
Михайло Наталіїш,False,200,133,148,164.3
Іван Вікторіш,True,155,180,161,164.3
Софія Володимириш,True,188,127,170,164.3
